numero;nombre;longitud;latitud
439;MIGUEL DE MOLINA;-2.4401826;36.8355126
427;CONSULTORIO AVDA. DE LA CRUZ;-2.4564603;36.8527007
424;ANTONIA MERCÉ;-2.4513966;36.8593373
426;PARKING HOSPITAL;-2.440754;36.8632289
443;PARQUE ANDARAX;-2.4367619;36.8154955
444;PARQUE ANDARAX;-2.4367619;36.8154955
430;CTRA. VENTA CABRERA A VIATOR;-2.387328;36.8555469
349;LOMA CABRERA;-2.3863646;36.8553009
384;MANUEL AZAÑA;-2.4436985;36.8431672
385;ESTADIO MEDITERRÁNEO;-2.4336778;36.8411704
431;AVDA. JUEGOS MEDITERRÁNEOS, 29;-2.3206151;36.8439708
352;VILLA MEDITERRÁNEA;-2.322736;36.841061
351;CENTRO CONGRESOS;-2.3227207;36.8382036
350;AVDA. JUEGOS CASABLANCA;-2.3164;36.8351676
377;RESIDENCIAL ALBORÁN;-2.3146491;36.8343417
388;ESTADIO MEDITERRÁNEO;-2.433821;36.8414051
389;MANUEL AZAÑA, 139;-2.443822;36.8431713
400;CANÓNIGO MOLINA ALONSO;-2.4620558;36.8349006
423;COLEGIO EUROPA;-2.444924;36.8591907
395;AVDA. MADRE MARÍA AZNAR LA SALLE;-2.439241;36.8521984
